timestamp=2026-01-31T06:30:29.659653218Z
send_ack_total_ms=508164

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84392, avg_ms_per_topic=168
batch_2_range=501~1000, elapsed_ms=86659, avg_ms_per_topic=173
batch_3_range=1001~1500, elapsed_ms=82037, avg_ms_per_topic=164
batch_4_range=1501~2000, elapsed_ms=88453, avg_ms_per_topic=176
batch_5_range=2001~2500, elapsed_ms=84505, avg_ms_per_topic=169
batch_6_range=2501~3000, elapsed_ms=87225, avg_ms_per_topic=174

=== Per Message Details ===
send_ack_ms_382=161, topic_create_ms=0
send_ack_ms_383=154, topic_create_ms=0
send_ack_ms_384=170, topic_create_ms=0
send_ack_ms_385=143, topic_create_ms=0
send_ack_ms_386=165, topic_create_ms=0
send_ack_ms_387=157, topic_create_ms=0
send_ack_ms_388=160, topic_create_ms=0
send_ack_ms_389=160, topic_create_ms=0
send_ack_ms_390=168, topic_create_ms=0
send_ack_ms_391=164, topic_create_ms=0
send_ack_ms_392=163, topic_create_ms=0
send_ack_ms_393=150, topic_create_ms=0
send_ack_ms_394=156, topic_create_ms=0
send_ack_ms_395=153, topic_create_ms=0
send_ack_ms_396=161, topic_create_ms=0
send_ack_ms_397=154, topic_create_ms=0
send_ack_ms_398=157, topic_create_ms=0
send_ack_ms_399=150, topic_create_ms=0
send_ack_ms_400=161, topic_create_ms=0
send_ack_ms_401=157, topic_create_ms=0
send_ack_ms_402=164, topic_create_ms=0
send_ack_ms_403=151, topic_create_ms=0
send_ack_ms_404=150, topic_create_ms=0
send_ack_ms_405=180, topic_create_ms=0
send_ack_ms_406=154, topic_create_ms=0
send_ack_ms_407=149, topic_create_ms=0
send_ack_ms_408=155, topic_create_ms=0
send_ack_ms_409=159, topic_create_ms=0
send_ack_ms_410=155, topic_create_ms=0
send_ack_ms_411=144, topic_create_ms=0
send_ack_ms_412=162, topic_create_ms=0
send_ack_ms_413=139, topic_create_ms=0
send_ack_ms_414=181, topic_create_ms=0
send_ack_ms_415=152, topic_create_ms=0
send_ack_ms_416=132, topic_create_ms=0
send_ack_ms_417=147, topic_create_ms=0
send_ack_ms_418=157, topic_create_ms=0
send_ack_ms_419=149, topic_create_ms=0
send_ack_ms_420=151, topic_create_ms=0
send_ack_ms_421=198, topic_create_ms=0
send_ack_ms_422=218, topic_create_ms=0
send_ack_ms_423=298, topic_create_ms=0
send_ack_ms_424=288, topic_create_ms=0
send_ack_ms_425=202, topic_create_ms=0
send_ack_ms_426=198, topic_create_ms=0
send_ack_ms_427=203, topic_create_ms=0
send_ack_ms_428=154, topic_create_ms=0
send_ack_ms_429=153, topic_create_ms=0
send_ack_ms_430=151, topic_create_ms=0
send_ack_ms_431=177, topic_create_ms=0
send_ack_ms_432=153, topic_create_ms=0
send_ack_ms_433=149, topic_create_ms=0
send_ack_ms_434=144, topic_create_ms=0
send_ack_ms_435=150, topic_create_ms=0
send_ack_ms_436=146, topic_create_ms=0
send_ack_ms_437=151, topic_create_ms=0
send_ack_ms_438=164, topic_create_ms=0
send_ack_ms_439=157, topic_create_ms=0
send_ack_ms_440=157, topic_create_ms=0
send_ack_ms_441=148, topic_create_ms=0
send_ack_ms_442=152, topic_create_ms=0
send_ack_ms_443=149, topic_create_ms=0
send_ack_ms_444=155, topic_create_ms=0
send_ack_ms_445=153, topic_create_ms=0
send_ack_ms_446=139, topic_create_ms=0
send_ack_ms_447=157, topic_create_ms=0
send_ack_ms_448=150, topic_create_ms=0
send_ack_ms_449=153, topic_create_ms=0
send_ack_ms_450=164, topic_create_ms=0
send_ack_ms_451=159, topic_create_ms=0
send_ack_ms_452=164, topic_create_ms=0
send_ack_ms_453=163, topic_create_ms=0
send_ack_ms_454=159, topic_create_ms=0
send_ack_ms_455=157, topic_create_ms=0
send_ack_ms_456=158, topic_create_ms=0
send_ack_ms_457=162, topic_create_ms=0
send_ack_ms_458=146, topic_create_ms=0
send_ack_ms_459=158, topic_create_ms=0
send_ack_ms_460=159, topic_create_ms=0
send_ack_ms_461=156, topic_create_ms=0
send_ack_ms_462=147, topic_create_ms=0
send_ack_ms_463=160, topic_create_ms=0
send_ack_ms_464=160, topic_create_ms=0
send_ack_ms_465=162, topic_create_ms=0
send_ack_ms_466=161, topic_create_ms=0
send_ack_ms_467=188, topic_create_ms=0
send_ack_ms_468=145, topic_create_ms=0
send_ack_ms_469=158, topic_create_ms=0
send_ack_ms_470=155, topic_create_ms=0
send_ack_ms_471=158, topic_create_ms=0
send_ack_ms_472=156, topic_create_ms=0
send_ack_ms_473=171, topic_create_ms=0
send_ack_ms_474=204, topic_create_ms=0
send_ack_ms_475=145, topic_create_ms=0
send_ack_ms_476=160, topic_create_ms=0
