timestamp=2026-01-31T06:36:35.051891637Z
send_ack_total_ms=213648

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=51388, avg_ms_per_topic=102
batch_2_range=501~1000, elapsed_ms=54950, avg_ms_per_topic=109
batch_3_range=1001~1500, elapsed_ms=49264, avg_ms_per_topic=98
batch_4_range=1501~2000, elapsed_ms=50232, avg_ms_per_topic=100
batch_5_range=2001~2500, elapsed_ms=48796, avg_ms_per_topic=97
batch_6_range=2501~3000, elapsed_ms=56556, avg_ms_per_topic=113

=== Per Message Details ===
send_ack_ms_279=33, topic_create_ms=27
send_ack_ms_280=33, topic_create_ms=26
send_ack_ms_281=33, topic_create_ms=30
send_ack_ms_282=36, topic_create_ms=27
send_ack_ms_283=33, topic_create_ms=27
send_ack_ms_284=33, topic_create_ms=29
send_ack_ms_285=35, topic_create_ms=23
send_ack_ms_286=33, topic_create_ms=27
send_ack_ms_287=34, topic_create_ms=27
send_ack_ms_288=34, topic_create_ms=27
send_ack_ms_289=40, topic_create_ms=28
send_ack_ms_290=2055, topic_create_ms=28
send_ack_ms_291=46, topic_create_ms=31
send_ack_ms_292=33, topic_create_ms=28
send_ack_ms_293=31, topic_create_ms=27
send_ack_ms_294=35, topic_create_ms=27
send_ack_ms_295=34, topic_create_ms=30
send_ack_ms_296=38, topic_create_ms=28
send_ack_ms_297=36, topic_create_ms=28
send_ack_ms_298=34, topic_create_ms=30
send_ack_ms_299=36, topic_create_ms=28
send_ack_ms_300=43, topic_create_ms=16
send_ack_ms_301=34, topic_create_ms=30
send_ack_ms_302=34, topic_create_ms=28
send_ack_ms_303=35, topic_create_ms=26
send_ack_ms_304=33, topic_create_ms=28
send_ack_ms_305=37, topic_create_ms=27
send_ack_ms_306=35, topic_create_ms=28
send_ack_ms_307=38, topic_create_ms=27
send_ack_ms_308=35, topic_create_ms=28
send_ack_ms_309=34, topic_create_ms=29
send_ack_ms_310=40, topic_create_ms=30
send_ack_ms_311=38, topic_create_ms=29
send_ack_ms_312=81, topic_create_ms=30
send_ack_ms_313=32, topic_create_ms=27
send_ack_ms_314=33, topic_create_ms=26
send_ack_ms_315=33, topic_create_ms=27
send_ack_ms_316=62, topic_create_ms=28
send_ack_ms_317=53, topic_create_ms=28
send_ack_ms_318=31, topic_create_ms=27
send_ack_ms_319=36, topic_create_ms=27
send_ack_ms_320=44, topic_create_ms=29
send_ack_ms_321=83, topic_create_ms=28
send_ack_ms_322=106, topic_create_ms=84
send_ack_ms_323=108, topic_create_ms=96
send_ack_ms_324=98, topic_create_ms=90
send_ack_ms_325=108, topic_create_ms=95
send_ack_ms_326=121, topic_create_ms=87
send_ack_ms_327=92, topic_create_ms=3
send_ack_ms_328=32, topic_create_ms=79
send_ack_ms_329=97, topic_create_ms=91
send_ack_ms_330=38, topic_create_ms=74
send_ack_ms_331=93, topic_create_ms=89
send_ack_ms_332=80, topic_create_ms=118
send_ack_ms_333=32, topic_create_ms=28
send_ack_ms_334=32, topic_create_ms=29
send_ack_ms_335=34, topic_create_ms=29
send_ack_ms_336=35, topic_create_ms=29
send_ack_ms_337=38, topic_create_ms=27
send_ack_ms_338=56, topic_create_ms=30
send_ack_ms_339=35, topic_create_ms=28
send_ack_ms_340=32, topic_create_ms=28
send_ack_ms_341=31, topic_create_ms=29
send_ack_ms_342=36, topic_create_ms=2
send_ack_ms_343=33, topic_create_ms=28
send_ack_ms_344=32, topic_create_ms=27
send_ack_ms_345=35, topic_create_ms=28
send_ack_ms_346=35, topic_create_ms=30
send_ack_ms_347=35, topic_create_ms=28
send_ack_ms_348=35, topic_create_ms=28
send_ack_ms_349=34, topic_create_ms=29
send_ack_ms_350=34, topic_create_ms=10
send_ack_ms_351=33, topic_create_ms=27
send_ack_ms_352=40, topic_create_ms=28
send_ack_ms_353=34, topic_create_ms=28
send_ack_ms_354=32, topic_create_ms=29
send_ack_ms_355=32, topic_create_ms=31
send_ack_ms_356=34, topic_create_ms=28
send_ack_ms_357=34, topic_create_ms=26
send_ack_ms_358=36, topic_create_ms=12
send_ack_ms_359=33, topic_create_ms=27
send_ack_ms_360=31, topic_create_ms=26
send_ack_ms_361=35, topic_create_ms=27
send_ack_ms_362=35, topic_create_ms=27
send_ack_ms_363=34, topic_create_ms=27
send_ack_ms_364=35, topic_create_ms=28
send_ack_ms_365=2036, topic_create_ms=28
send_ack_ms_366=42, topic_create_ms=19
send_ack_ms_367=35, topic_create_ms=29
send_ack_ms_368=33, topic_create_ms=27
send_ack_ms_369=35, topic_create_ms=28
send_ack_ms_370=35, topic_create_ms=30
send_ack_ms_371=34, topic_create_ms=28
send_ack_ms_372=32, topic_create_ms=28
send_ack_ms_373=31, topic_create_ms=27
send_ack_ms_374=33, topic_create_ms=6
send_ack_ms_375=32, topic_create_ms=27
send_ack_ms_376=31, topic_create_ms=27
send_ack_ms_377=33, topic_create_ms=27
send_ack_ms_378=42, topic_create_ms=28
send_ack_ms_379=31, topic_create_ms=27
send_ack_ms_380=34, topic_create_ms=27
send_ack_ms_381=36, topic_create_ms=27
send_ack_ms_382=42, topic_create_ms=20
send_ack_ms_383=34, topic_create_ms=31
send_ack_ms_384=32, topic_create_ms=33
send_ack_ms_385=34, topic_create_ms=27
send_ack_ms_386=33, topic_create_ms=30
send_ack_ms_387=32, topic_create_ms=28
send_ack_ms_388=35, topic_create_ms=30
send_ack_ms_389=33, topic_create_ms=26
send_ack_ms_390=34, topic_create_ms=27
send_ack_ms_391=33, topic_create_ms=27
send_ack_ms_392=33, topic_create_ms=28
send_ack_ms_393=35, topic_create_ms=27
send_ack_ms_394=31, topic_create_ms=27
send_ack_ms_395=31, topic_create_ms=29
send_ack_ms_396=31, topic_create_ms=27
send_ack_ms_397=33, topic_create_ms=27
send_ack_ms_398=238, topic_create_ms=27
send_ack_ms_399=115, topic_create_ms=28
send_ack_ms_400=29, topic_create_ms=27
send_ack_ms_401=29, topic_create_ms=26
send_ack_ms_402=29, topic_create_ms=27
send_ack_ms_403=28, topic_create_ms=26
send_ack_ms_404=41, topic_create_ms=27
send_ack_ms_405=32, topic_create_ms=29
send_ack_ms_406=34, topic_create_ms=29
send_ack_ms_407=32, topic_create_ms=27
send_ack_ms_408=35, topic_create_ms=28
send_ack_ms_409=33, topic_create_ms=28
send_ack_ms_410=45, topic_create_ms=29
send_ack_ms_411=38, topic_create_ms=30
send_ack_ms_412=36, topic_create_ms=28
send_ack_ms_413=32, topic_create_ms=30
send_ack_ms_414=31, topic_create_ms=28
send_ack_ms_415=30, topic_create_ms=28
send_ack_ms_416=32, topic_create_ms=27
send_ack_ms_417=33, topic_create_ms=6
send_ack_ms_418=32, topic_create_ms=27
send_ack_ms_419=35, topic_create_ms=29
send_ack_ms_420=34, topic_create_ms=28
send_ack_ms_421=37, topic_create_ms=27
send_ack_ms_422=34, topic_create_ms=28
send_ack_ms_423=33, topic_create_ms=28
send_ack_ms_424=35, topic_create_ms=29
send_ack_ms_425=34, topic_create_ms=11
send_ack_ms_426=72, topic_create_ms=27
send_ack_ms_427=95, topic_create_ms=26
send_ack_ms_428=76, topic_create_ms=28
send_ack_ms_429=34, topic_create_ms=29
send_ack_ms_430=43, topic_create_ms=28
send_ack_ms_431=76, topic_create_ms=2
send_ack_ms_432=31, topic_create_ms=27
send_ack_ms_433=32, topic_create_ms=28
send_ack_ms_434=31, topic_create_ms=30
send_ack_ms_435=34, topic_create_ms=28
send_ack_ms_436=33, topic_create_ms=29
send_ack_ms_437=79, topic_create_ms=27
send_ack_ms_438=78, topic_create_ms=28
send_ack_ms_439=36, topic_create_ms=27
send_ack_ms_440=80, topic_create_ms=28
send_ack_ms_441=35, topic_create_ms=28
send_ack_ms_442=38, topic_create_ms=28
send_ack_ms_443=34, topic_create_ms=27
send_ack_ms_444=82, topic_create_ms=16
send_ack_ms_445=39, topic_create_ms=30
send_ack_ms_446=38, topic_create_ms=29
send_ack_ms_447=78, topic_create_ms=28
send_ack_ms_448=39, topic_create_ms=28
send_ack_ms_449=38, topic_create_ms=28
send_ack_ms_450=34, topic_create_ms=28
send_ack_ms_451=35, topic_create_ms=28
send_ack_ms_452=34, topic_create_ms=28
