timestamp=2026-01-31T06:21:33.681260220Z
send_ack_total_ms=520557

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84962, avg_ms_per_topic=169
batch_2_range=501~1000, elapsed_ms=84795, avg_ms_per_topic=169
batch_3_range=1001~1500, elapsed_ms=86318, avg_ms_per_topic=172
batch_4_range=1501~2000, elapsed_ms=89074, avg_ms_per_topic=178
batch_5_range=2001~2500, elapsed_ms=87465, avg_ms_per_topic=174
batch_6_range=2501~3000, elapsed_ms=93157, avg_ms_per_topic=186

=== Per Message Details ===
send_ack_ms_435=159, topic_create_ms=0
send_ack_ms_436=153, topic_create_ms=0
send_ack_ms_437=158, topic_create_ms=0
send_ack_ms_438=146, topic_create_ms=0
send_ack_ms_439=159, topic_create_ms=0
send_ack_ms_440=160, topic_create_ms=0
send_ack_ms_441=164, topic_create_ms=0
send_ack_ms_442=150, topic_create_ms=0
send_ack_ms_443=155, topic_create_ms=0
send_ack_ms_444=163, topic_create_ms=0
send_ack_ms_445=155, topic_create_ms=0
send_ack_ms_446=147, topic_create_ms=0
send_ack_ms_447=162, topic_create_ms=0
send_ack_ms_448=163, topic_create_ms=0
send_ack_ms_449=157, topic_create_ms=0
send_ack_ms_450=161, topic_create_ms=0
send_ack_ms_451=157, topic_create_ms=0
send_ack_ms_452=157, topic_create_ms=0
send_ack_ms_453=161, topic_create_ms=0
send_ack_ms_454=153, topic_create_ms=0
send_ack_ms_455=152, topic_create_ms=0
send_ack_ms_456=153, topic_create_ms=0
send_ack_ms_457=157, topic_create_ms=0
send_ack_ms_458=142, topic_create_ms=0
send_ack_ms_459=439, topic_create_ms=0
send_ack_ms_460=145, topic_create_ms=0
send_ack_ms_461=149, topic_create_ms=0
send_ack_ms_462=148, topic_create_ms=0
send_ack_ms_463=151, topic_create_ms=0
send_ack_ms_464=140, topic_create_ms=0
send_ack_ms_465=157, topic_create_ms=0
send_ack_ms_466=153, topic_create_ms=0
send_ack_ms_467=149, topic_create_ms=0
send_ack_ms_468=159, topic_create_ms=0
